EK,UK,UUK,Kennzeichen,Klassendefinition,Klassenname,Beispiele,Target
F,FB,FBA,FBA,"Erdschlussstrom-Schutzobjekt, mit dem ein elektrisches Netzwerk überwacht wird und das im Falle von Erdfehlerströmen abgeschaltet wird",Fehlerstromschutzschalter,Erd-fehlerstromschutzschalter (ELCB),Erd-fehlerstromschutzschalter (ELCB)
F,FB,FBA,FBA,"Erdschlussstrom-Schutzobjekt, mit dem ein elektrisches Netzwerk überwacht wird und das im Falle von Erdfehlerströmen abgeschaltet wird",Fehlerstromschutzschalter,Erd-fehlerstromschutzschalter (ELCB),Fehlerstromschutzschalter
F,FB,FBA,FBA,"Erdschlussstrom-Schutzobjekt, mit dem ein elektrisches Netzwerk überwacht wird und das im Falle von Erdfehlerströmen abgeschaltet wird",Fehlerstromschutzschalter,Erd-fehlerstromschutzschalter (ELCB),"Erdschlussstrom-Schutzobjekt, mit dem ein elektrisches Netzwerk überwacht wird und das im Falle von Erdfehlerströmen abgeschaltet wird"
F,FB,FBA,FBA,"Erdschlussstrom-Schutzobjekt, mit dem ein elektrisches Netzwerk überwacht wird und das im Falle von Erdfehlerströmen abgeschaltet wird",Fehlerstromschutzschalter,Erdschlussschutzschalter,"Erdschlussstrom-Schutzobjekt, mit dem ein elektrisches Netzwerk überwacht wird und das im Falle von Erdfehlerströmen abgeschaltet wird"
F,FB,FBA,FBA,"Erdschlussstrom-Schutzobjekt, mit dem ein elektrisches Netzwerk überwacht wird und das im Falle von Erdfehlerströmen abgeschaltet wird",Fehlerstromschutzschalter,FI-Schutzschalter,Fehlerstromschutzschalter
F,FB,FBA,FBA,"Erdschlussstrom-Schutzobjekt, mit dem ein elektrisches Netzwerk überwacht wird und das im Falle von Erdfehlerströmen abgeschaltet wird",Fehlerstromschutzschalter,FI-Schutzschalter,"Erdschlussstrom-Schutzobjekt, mit dem ein elektrisches Netzwerk überwacht wird und das im Falle von Erdfehlerströmen abgeschaltet wird"
F,FB,FBA,FBA,"Erdschlussstrom-Schutzobjekt, mit dem ein elektrisches Netzwerk überwacht wird und das im Falle von Erdfehlerströmen abgeschaltet wird",Fehlerstromschutzschalter,Fehlerstromtrenn-schalter (RCCB),Fehlerstromtrenn-schalter (RCCB)
F,FB,FBA,FBA,"Erdschlussstrom-Schutzobjekt, mit dem ein elektrisches Netzwerk überwacht wird und das im Falle von Erdfehlerströmen abgeschaltet wird",Fehlerstromschutzschalter,Fehlerstromtrenn-schalter (RCCB),Fehlerstromschutzschalter
F,FB,FBA,FBA,"Erdschlussstrom-Schutzobjekt, mit dem ein elektrisches Netzwerk überwacht wird und das im Falle von Erdfehlerströmen abgeschaltet wird",Fehlerstromschutzschalter,Fehlerstromtrenn-schalter (RCCB),"Erdschlussstrom-Schutzobjekt, mit dem ein elektrisches Netzwerk überwacht wird und das im Falle von Erdfehlerströmen abgeschaltet wird"
F,FB,FBA,FBA,"Erdschlussstrom-Schutzobjekt, mit dem ein elektrisches Netzwerk überwacht wird und das im Falle von Erdfehlerströmen abgeschaltet wird",Fehlerstromschutzschalter,Fehlerstrom-schutzschalter,Fehlerstrom-schutzschalter
F,FB,FBA,FBA,"Erdschlussstrom-Schutzobjekt, mit dem ein elektrisches Netzwerk überwacht wird und das im Falle von Erdfehlerströmen abgeschaltet wird",Fehlerstromschutzschalter,Fehlerstrom-schutzschalter,Fehlerstromschutzschalter
F,FB,FBA,FBA,"Erdschlussstrom-Schutzobjekt, mit dem ein elektrisches Netzwerk überwacht wird und das im Falle von Erdfehlerströmen abgeschaltet wird",Fehlerstromschutzschalter,Fehlerstrom-schutzschalter,"Erdschlussstrom-Schutzobjekt, mit dem ein elektrisches Netzwerk überwacht wird und das im Falle von Erdfehlerströmen abgeschaltet wird"
F,FB,FBA,FBA,"Erdschlussstrom-Schutzobjekt, mit dem ein elektrisches Netzwerk überwacht wird und das im Falle von Erdfehlerströmen abgeschaltet wird",Fehlerstromschutzschalter,FI-Schutzschalter,FI-Schutzschalter
F,FB,FBB,FBB,"Erdschlussstrom-Schutzobjekt, mit dem der Wert eines Erdfehlerstroms beschränkt wird",Erdschlussstrom-Begrenzer,neutrale Erdungsimpedanz,neutrale Erdungsimpedanz
F,FB,FBB,FBB,"Erdschlussstrom-Schutzobjekt, mit dem der Wert eines Erdfehlerstroms beschränkt wird",Erdschlussstrom-Begrenzer,neutrale Erdungsimpedanz,Erdschlussstrom-Begrenzer
F,FB,FBB,FBB,"Erdschlussstrom-Schutzobjekt, mit dem der Wert eines Erdfehlerstroms beschränkt wird",Erdschlussstrom-Begrenzer,neutrale Erdungsimpedanz,"Erdschlussstrom-Schutzobjekt, mit dem der Wert eines Erdfehlerstroms beschränkt wird"
F,FB,FBB,FBB,"Erdschlussstrom-Schutzobjekt, mit dem der Wert eines Erdfehlerstroms beschränkt wird",Erdschlussstrom-Begrenzer,Petersen-Spule,Petersen-Spule
F,FB,FBB,FBB,"Erdschlussstrom-Schutzobjekt, mit dem der Wert eines Erdfehlerstroms beschränkt wird",Erdschlussstrom-Begrenzer,Petersen-Spule,Erdschlussstrom-Begrenzer
F,FB,FBB,FBB,"Erdschlussstrom-Schutzobjekt, mit dem der Wert eines Erdfehlerstroms beschränkt wird",Erdschlussstrom-Begrenzer,Neutraler Erdungsreaktor,Neutraler Erdungsreaktor
F,FB,FBB,FBB,"Erdschlussstrom-Schutzobjekt, mit dem der Wert eines Erdfehlerstroms beschränkt wird",Erdschlussstrom-Begrenzer,Neutraler Erdungsreaktor,Erdschlussstrom-Begrenzer
F,FB,FBB,FBB,"Erdschlussstrom-Schutzobjekt, mit dem der Wert eines Erdfehlerstroms beschränkt wird",Erdschlussstrom-Begrenzer,Neutraler Erdungsreaktor,"Erdschlussstrom-Schutzobjekt, mit dem der Wert eines Erdfehlerstroms beschränkt wird"
F,FB,FBB,FBB,"Erdschlussstrom-Schutzobjekt, mit dem der Wert eines Erdfehlerstroms beschränkt wird",Erdschlussstrom-Begrenzer,Petersen-Spule,"Erdschlussstrom-Schutzobjekt, mit dem der Wert eines Erdfehlerstroms beschränkt wird"
F,FC,,FC,Schutzobjekt für Überströme,Überstromschutzobjekt,,Schutzobjekt für Überströme
F,FC,,FC,Schutzobjekt für Überströme,Überstromschutzobjekt,,Überstromschutzobjekt
F,FC,FCA,FCA,"Überstromschutzobjekt, das den Kreis, in dem es sich befindet, durch Unterbrechen des Stroms öffnet, wenn dieser für eine bestimmte Zeit einen bestimmten Wert überschreitet",Sicherung,,"Überstromschutzobjekt, das den Kreis, in dem es sich befindet, durch Unterbrechen des Stroms öffnet, wenn dieser für eine bestimmte Zeit einen bestimmten Wert überschreitet"
F,FC,FCA,FCA,"Überstromschutzobjekt, das den Kreis, in dem es sich befindet, durch Unterbrechen des Stroms öffnet, wenn dieser für eine bestimmte Zeit einen bestimmten Wert überschreitet",Sicherung,,Sicherung
F,FC,FCB,FCB,"Überstromschutzobjekt, das über die Fähigkeit verfügt, Ströme unter normalen Stromkreisbedingungen zu erzeugen, zu leiten und zu unterbrechen und Ströme unter bestimmten ungewöhnlichen Stromkreisbedingungen zu leiten und automatisch zu unterbrechen ANMERKUNG Diese Klasse ist für Schutzschalter nach der Normenreihe IEC 60898 vorgesehen.",Leistungsschutzschalter,,"Überstromschutzobjekt, das über die Fähigkeit verfügt, Ströme unter normalen Stromkreisbedingungen zu erzeugen, zu leiten und zu unterbrechen und Ströme unter bestimmten ungewöhnlichen Stromkreisbedingungen zu leiten und automatisch zu unterbrechen ANMERKUNG Diese Klasse ist für Schutzschalter nach der Normenreihe IEC 60898 vorgesehen."
F,FC,FCB,FCB,"Überstromschutzobjekt, das über die Fähigkeit verfügt, Ströme unter normalen Stromkreisbedingungen zu erzeugen, zu leiten und zu unterbrechen und Ströme unter bestimmten ungewöhnlichen Stromkreisbedingungen zu leiten und automatisch zu unterbrechen ANMERKUNG Diese Klasse ist für Schutzschalter nach der Normenreihe IEC 60898 vorgesehen.",Leistungsschutzschalter,,Leistungsschutzschalter
F,FC,FCC,FCC,"Überstromschutzobjekt, das den Kreis, in dem es sich befindet, durch Unterbrechen des Stroms öffnet, wenn dieser für eine bestimmte Zeit einen bestimmten Wert überschreitet",Bimetall,thermisches Überlastrelais,"Überstromschutzobjekt, das den Kreis, in dem es sich befindet, durch Unterbrechen des Stroms öffnet, wenn dieser für eine bestimmte Zeit einen bestimmten Wert überschreitet"
F,FC,FCC,FCC,"Überstromschutzobjekt, das den Kreis, in dem es sich befindet, durch Unterbrechen des Stroms öffnet, wenn dieser für eine bestimmte Zeit einen bestimmten Wert überschreitet",Bimetall,thermisches Überlastrelais,thermisches Überlastrelais
F,FC,FCC,FCC,"Überstromschutzobjekt, das den Kreis, in dem es sich befindet, durch Unterbrechen des Stroms öffnet, wenn dieser für eine bestimmte Zeit einen bestimmten Wert überschreitet",Bimetall,thermisches Überlastrelais,Bimetall
F,FC,FCC,FCC,"Überstromschutzobjekt, das den Kreis, in dem es sich befindet, durch Unterbrechen des Stroms öffnet, wenn dieser für eine bestimmte Zeit einen bestimmten Wert überschreitet",Bimetall,thermische Überlastauslösung,thermische Überlastauslösung
F,FC,FCC,FCC,"Überstromschutzobjekt, das den Kreis, in dem es sich befindet, durch Unterbrechen des Stroms öffnet, wenn dieser für eine bestimmte Zeit einen bestimmten Wert überschreitet",Bimetall,thermische Überlastauslösung,Bimetall
F,FC,FCC,FCC,"Überstromschutzobjekt, das den Kreis, in dem es sich befindet, durch Unterbrechen des Stroms öffnet, wenn dieser für eine bestimmte Zeit einen bestimmten Wert überschreitet",Bimetall,thermische Überlastauslösung,"Überstromschutzobjekt, das den Kreis, in dem es sich befindet, durch Unterbrechen des Stroms öffnet, wenn dieser für eine bestimmte Zeit einen bestimmten Wert überschreitet"
F,FC,FCC,FCC,"Überstromschutzobjekt, das den Kreis, in dem es sich befindet, durch Unterbrechen des Stroms öffnet, wenn dieser für eine bestimmte Zeit einen bestimmten Wert überschreitet",Bimetall,Bimetall-Schutzschalter,Bimetall-Schutzschalter
F,FC,FCC,FCC,"Überstromschutzobjekt, das den Kreis, in dem es sich befindet, durch Unterbrechen des Stroms öffnet, wenn dieser für eine bestimmte Zeit einen bestimmten Wert überschreitet",Bimetall,Bimetall-Schutzschalter,Bimetall
F,FC,FCC,FCC,"Überstromschutzobjekt, das den Kreis, in dem es sich befindet, durch Unterbrechen des Stroms öffnet, wenn dieser für eine bestimmte Zeit einen bestimmten Wert überschreitet",Bimetall,Bimetall-Schutzschalter,"Überstromschutzobjekt, das den Kreis, in dem es sich befindet, durch Unterbrechen des Stroms öffnet, wenn dieser für eine bestimmte Zeit einen bestimmten Wert überschreitet"
F,FE,,FE,Schutzobjekt für elektrische und/oder magnetische Felder,Feldschutzobjekt,,Schutzobjekt für elektrische und/oder magnetische Felder
F,FE,,FE,Schutzobjekt für elektrische und/oder magnetische Felder,Feldschutzobjekt,,Feldschutzobjekt
F,FE,FEA,FEA,Feldschutzobjekt für elektrische Felder,Elektrische Feldabschirmung,Faradayscher Käfig,Elektrische Feldabschirmung
F,FE,FEA,FEA,Feldschutzobjekt für elektrische Felder,Elektrische Feldabschirmung,Faradayscher Käfig,Faradayscher Käfig
F,FE,FEA,FEA,Feldschutzobjekt für elektrische Felder,Elektrische Feldabschirmung,Faradayscher Käfig,Feldschutzobjekt für elektrische Felder
F,FE,FEB,FEB,Feldschutzobjekt für Magnetfelder,Magnetfeldabschirmung,Mu-metallische Abschirmung (gegen statische oder Niedrig-frequenz-Magnetfelder),Feldschutzobjekt für Magnetfelder
F,FE,FEB,FEB,Feldschutzobjekt für Magnetfelder,Magnetfeldabschirmung,Mu-metallische Abschirmung (gegen statische oder Niedrig-frequenz-Magnetfelder),Magnetfeldabschirmung
F,FE,FEB,FEB,Feldschutzobjekt für Magnetfelder,Magnetfeldabschirmung,Mu-metallische Abschirmung (gegen statische oder Niedrig-frequenz-Magnetfelder),Mu-metallische Abschirmung (gegen statische oder Niedrig-frequenz-Magnetfelder)
F,FE,FEC,FEC,Feldschutzobjekt für elektromagnetische Felder,Elektromagnetische Feldabschirmung,Metallbleche,Elektromagnetische Feldabschirmung
F,FE,FEC,FEC,Feldschutzobjekt für elektromagnetische Felder,Elektromagnetische Feldabschirmung,Bleiblock,Elektromagnetische Feldabschirmung
F,FE,FEC,FEC,Feldschutzobjekt für elektromagnetische Felder,Elektromagnetische Feldabschirmung,Bleiblock,Feldschutzobjekt für elektromagnetische Felder
F,FE,FEC,FEC,Feldschutzobjekt für elektromagnetische Felder,Elektromagnetische Feldabschirmung,Metallbleche,Metallbleche
F,FE,FEC,FEC,Feldschutzobjekt für elektromagnetische Felder,Elektromagnetische Feldabschirmung,Metallbleche,Feldschutzobjekt für elektromagnetische Felder
F,FE,FEC,FEC,Feldschutzobjekt für elektromagnetische Felder,Elektromagnetische Feldabschirmung,Bleiblock,Bleiblock
F,FE,FEC,FEC,Feldschutzobjekt für elektromagnetische Felder,Elektromagnetische Feldabschirmung,Betonwand,Elektromagnetische Feldabschirmung
F,FE,FEC,FEC,Feldschutzobjekt für elektromagnetische Felder,Elektromagnetische Feldabschirmung,Betonwand,Feldschutzobjekt für elektromagnetische Felder
F,FE,FEC,FEC,Feldschutzobjekt für elektromagnetische Felder,Elektromagnetische Feldabschirmung,Faradayscher Käfig,Faradayscher Käfig
F,FE,FEC,FEC,Feldschutzobjekt für elektromagnetische Felder,Elektromagnetische Feldabschirmung,Faradayscher Käfig,Elektromagnetische Feldabschirmung
F,FE,FEC,FEC,Feldschutzobjekt für elektromagnetische Felder,Elektromagnetische Feldabschirmung,Faradayscher Käfig,Feldschutzobjekt für elektromagnetische Felder
F,FE,FEC,FEC,Feldschutzobjekt für elektromagnetische Felder,Elektromagnetische Feldabschirmung,Betonwand,Betonwand
F,FL,,FL,Schutzobjekt für Drücke,Druckschutzobjekt,,Schutzobjekt für Drücke
F,FL,,FL,Schutzobjekt für Drücke,Druckschutzobjekt,,Druckschutzobjekt
F,FL,FLA,FLA,"Druckschutzobjekt, das Dampf oder Flüssigkeit abgibt, wenn der Druck einen festgelegten Grenzwert überschreitet",Sicherheitsventil,,"Druckschutzobjekt, das Dampf oder Flüssigkeit abgibt, wenn der Druck einen festgelegten Grenzwert überschreitet"
F,FL,FLA,FLA,"Druckschutzobjekt, das Dampf oder Flüssigkeit abgibt, wenn der Druck einen festgelegten Grenzwert überschreitet",Sicherheitsventil,,Sicherheitsventil
F,FL,FLB,FLB,"Druckschutzobjekt, bei dem ein Luftstrom geöffnet wird, wenn sich der Druck über oder unter einem festgelegten Grenzwert befindet",Sicherheitsklappe,,"Druckschutzobjekt, bei dem ein Luftstrom geöffnet wird, wenn sich der Druck über oder unter einem festgelegten Grenzwert befindet"
F,FL,FLB,FLB,"Druckschutzobjekt, bei dem ein Luftstrom geöffnet wird, wenn sich der Druck über oder unter einem festgelegten Grenzwert befindet",Sicherheitsklappe,,Sicherheitsklappe
F,FL,FLC,FLC,"Druckschutzobjekt, mit dem ein Vakuum verhindert wird",Rückschlagventil gegen Vakuum,,"Druckschutzobjekt, mit dem ein Vakuum verhindert wird"
F,FL,FLC,FLC,"Druckschutzobjekt, mit dem ein Vakuum verhindert wird",Rückschlagventil gegen Vakuum,,Rückschlagventil gegen Vakuum
F,FL,FLD,FLD,"Druckschutzobjekt, das im Falle eines übermäßigen Differenzdrucks irreversibel aufgebrochen wird",Berstplatte,,Berstplatte
F,FL,FLD,FLD,"Druckschutzobjekt, das im Falle eines übermäßigen Differenzdrucks irreversibel aufgebrochen wird",Berstplatte,,"Druckschutzobjekt, das im Falle eines übermäßigen Differenzdrucks irreversibel aufgebrochen wird"
F,FL,FLE,FLE,"Druckschutzobjekt, das über eine Volumenausdehnung verfügt",Expansionstank,Expansionsgefäß,"Druckschutzobjekt, das über eine Volumenausdehnung verfügt"
F,FL,FLE,FLE,"Druckschutzobjekt, das über eine Volumenausdehnung verfügt",Expansionstank,Expansionsgefäß,Expansionstank
F,FL,FLE,FLE,"Druckschutzobjekt, das über eine Volumenausdehnung verfügt",Expansionstank,Expansionsgefäß,Expansionsgefäß
F,FM,,FM,Schutzobjekt für Feuer,Brandschutzobjekt,,Schutzobjekt für Feuer
F,FM,,FM,Schutzobjekt für Feuer,Brandschutzobjekt,,Brandschutzobjekt
F,FM,FMA,FMA,"Brandschutzobjekt, das bei Erkennen eines Brandes den Luftstrom unterbricht",Brandschutzklappe,,"Brandschutzobjekt, das bei Erkennen eines Brandes den Luftstrom unterbricht"
F,FM,FMA,FMA,"Brandschutzobjekt, das bei Erkennen eines Brandes den Luftstrom unterbricht",Brandschutzklappe,,Brandschutzklappe
F,FM,FMB,FMB,"Brandschutzobjekt, das bei Erkennen von Rauch den Luftstrom öffnet oder unterbricht",Rauchschutzklappe,,"Brandschutzobjekt, das bei Erkennen von Rauch den Luftstrom öffnet oder unterbricht"
F,FM,FMB,FMB,"Brandschutzobjekt, das bei Erkennen von Rauch den Luftstrom öffnet oder unterbricht",Rauchschutzklappe,,Rauchschutzklappe
F,FM,FMC,FMC,"Brandschutzobjekt, das bei Erkennen eines Brandes und/oder bei Erkennen von Rauch den Luftstrom unterbricht",Brand- und Rauchschutzklappe,,"Brandschutzobjekt, das bei Erkennen eines Brandes und/oder bei Erkennen von Rauch den Luftstrom unterbricht"
F,FM,FMC,FMC,"Brandschutzobjekt, das bei Erkennen eines Brandes und/oder bei Erkennen von Rauch den Luftstrom unterbricht",Brand- und Rauchschutzklappe,,Brand- und Rauchschutzklappe
F,FM,FMD,FMD,Brandschutzobjekt zur manuellen Bedienung,Feuerlöscher,,Brandschutzobjekt zur manuellen Bedienung
F,FM,FMD,FMD,Brandschutzobjekt zur manuellen Bedienung,Feuerlöscher,,Feuerlöscher
F,FM,FME,FME,"Brandschutzobjekt, das bei Erkennen eines Brandes und/oder bei Erkennen von Rauch einen Durchgang versperrt",Brandschutzblende,,Brandschutzblende
F,FM,FME,FME,"Brandschutzobjekt, das bei Erkennen eines Brandes und/oder bei Erkennen von Rauch einen Durchgang versperrt",Brandschutzblende,,"Brandschutzobjekt, das bei Erkennen eines Brandes und/oder bei Erkennen von Rauch einen Durchgang versperrt"
F,FM,FMF,FMF,"Brandschutzobjekt, das einen Bereich in Rauchzonen unterteilt",Rauchschutzvorhang,,"Brandschutzobjekt, das einen Bereich in Rauchzonen unterteilt"
F,FM,FMF,FMF,"Brandschutzobjekt, das einen Bereich in Rauchzonen unterteilt",Rauchschutzvorhang,,Rauchschutzvorhang
F,FM,FMG,FMG,"Brandschutzobjekt, das ein Loch schließt, mit dem ein Ausbreiten eines Brandes verhindert wird",Rauchabschottung,,"Brandschutzobjekt, das ein Loch schließt, mit dem ein Ausbreiten eines Brandes verhindert wird"
F,FM,FMG,FMG,"Brandschutzobjekt, das ein Loch schließt, mit dem ein Ausbreiten eines Brandes verhindert wird",Rauchabschottung,,Rauchabschottung
F,FM,FMH,FMH,Brandschutzobjekt zur Oberflächenabdeckung,Brandisolierung,,Brandschutzobjekt zur Oberflächenabdeckung
F,FM,FMH,FMH,Brandschutzobjekt zur Oberflächenabdeckung,Brandisolierung,,Brandisolierung
F,FM,FMJ,FMJ,Brandschutzobjekt zur Oberflächenbeschichtung,Feuerschutzmittel,Brandschutzmittel,Brandschutzobjekt zur Oberflächenbeschichtung
F,FM,FMJ,FMJ,Brandschutzobjekt zur Oberflächenbeschichtung,Feuerschutzmittel,Brandschutzmittel,Feuerschutzmittel
F,FM,FMJ,FMJ,Brandschutzobjekt zur Oberflächenbeschichtung,Feuerschutzmittel,Brandschutzmittel,Brandschutzmittel
F,FM,FMK,FMK,Brandschutzobjekt zur Imprägnierung,Brandschutzimprägnierung,,Brandschutzobjekt zur Imprägnierung
F,FM,FMK,FMK,Brandschutzobjekt zur Imprägnierung,Brandschutzimprägnierung,,Brandschutzimprägnierung
F,FN,,FN,Schutzobjekt für mechanische Kraft,Objekt zum Schutz vor mechanischer Kraft,,Objekt zum Schutz vor mechanischer Kraft
F,FN,,FN,Schutzobjekt für mechanische Kraft,Objekt zum Schutz vor mechanischer Kraft,,Schutzobjekt für mechanische Kraft
F,FN,FNA,FNA,"Objekt zum Schutz vor mechanischer Kraft, das für eine Trennung sorgt, wenn das Drehmoment zu hoch ist",Sicherheitskupplung,,"Objekt zum Schutz vor mechanischer Kraft, das für eine Trennung sorgt, wenn das Drehmoment zu hoch ist"
F,FN,FNA,FNA,"Objekt zum Schutz vor mechanischer Kraft, das für eine Trennung sorgt, wenn das Drehmoment zu hoch ist",Sicherheitskupplung,,Sicherheitskupplung
F,FN,FNB,FNB,"Objekt zum Schutz vor mechanischer Kraft, zur Stoßdämpfung",Stoßschutz,Kabelschutz,"Objekt zum Schutz vor mechanischer Kraft, zur Stoßdämpfung"
F,FN,FNB,FNB,"Objekt zum Schutz vor mechanischer Kraft, zur Stoßdämpfung",Stoßschutz,Kabelschutz,Stoßschutz
F,FN,FNB,FNB,"Objekt zum Schutz vor mechanischer Kraft, zur Stoßdämpfung",Stoßschutz,Kabelschutz,Kabelschutz
F,FQ,,FQ,Schutzobjekt durch Barriere oder Hindernis,Vorbeugendes Schutzobjekt,,Schutzobjekt durch Barriere oder Hindernis
F,FQ,,FQ,Schutzobjekt durch Barriere oder Hindernis,Vorbeugendes Schutzobjekt,,Vorbeugendes Schutzobjekt
F,FQ,FQA,FQA,Vorbeugendes Schutzobjekt für sich bewegende Objekte,Schutznetz,Schutzgitter,Vorbeugendes Schutzobjekt für sich bewegende Objekte
F,FQ,FQA,FQA,Vorbeugendes Schutzobjekt für sich bewegende Objekte,Schutznetz,Schutzgitter,Schutznetz
F,FQ,FQA,FQA,Vorbeugendes Schutzobjekt für sich bewegende Objekte,Schutznetz,Schutzgitter,Schutzgitter
F,FQ,FQB,FQB,Vorbeugendes Schutzobjekt für gleitende oder schwebende Stoffe,Gleitschutz,Schneefang,Schneefang
F,FQ,FQB,FQB,Vorbeugendes Schutzobjekt für gleitende oder schwebende Stoffe,Gleitschutz,Schneefang,Vorbeugendes Schutzobjekt für gleitende oder schwebende Stoffe
F,FQ,FQB,FQB,Vorbeugendes Schutzobjekt für gleitende oder schwebende Stoffe,Gleitschutz,Schneefang,Gleitschutz
F,FQ,FQC,FQC,Vorbeugendes Schutzobjekt zum Verhindern eines Herunterfallens,Schutzgeländer,Handlauf,Vorbeugendes Schutzobjekt zum Verhindern eines Herunterfallens
F,FQ,FQC,FQC,Vorbeugendes Schutzobjekt zum Verhindern eines Herunterfallens,Schutzgeländer,Handlauf,Schutzgeländer
F,FQ,FQC,FQC,Vorbeugendes Schutzobjekt zum Verhindern eines Herunterfallens,Schutzgeländer,Handlauf,Handlauf
F,FQ,FQC,FQC,Vorbeugendes Schutzobjekt zum Verhindern eines Herunterfallens,Schutzgeländer,Aufhängungsschutz,Vorbeugendes Schutzobjekt zum Verhindern eines Herunterfallens
F,FQ,FQC,FQC,Vorbeugendes Schutzobjekt zum Verhindern eines Herunterfallens,Schutzgeländer,Aufhängungsschutz,Schutzgeländer
F,FQ,FQC,FQC,Vorbeugendes Schutzobjekt zum Verhindern eines Herunterfallens,Schutzgeländer,Aufhängungsschutz,Aufhängungsschutz
F,FQ,FQD,FQD,Vorbeugendes Schutzobjekt zum Schutz vor Herausfallen oder Zusammenprallen,Schutzschiene,Schutzgeländer,Vorbeugendes Schutzobjekt zum Schutz vor Herausfallen oder Zusammenprallen
F,FQ,FQD,FQD,Vorbeugendes Schutzobjekt zum Schutz vor Herausfallen oder Zusammenprallen,Schutzschiene,Schutzgeländer,Schutzgeländer
F,FQ,FQD,FQD,Vorbeugendes Schutzobjekt zum Schutz vor Herausfallen oder Zusammenprallen,Schutzschiene,Schutzgeländer,Schutzschiene
F,FQ,FQD,FQD,Vorbeugendes Schutzobjekt zum Schutz vor Herausfallen oder Zusammenprallen,Schutzschiene,Schutzdach,Schutzdach
F,FQ,FQD,FQD,Vorbeugendes Schutzobjekt zum Schutz vor Herausfallen oder Zusammenprallen,Schutzschiene,Schutzdach,Schutzschiene
F,FQ,FQD,FQD,Vorbeugendes Schutzobjekt zum Schutz vor Herausfallen oder Zusammenprallen,Schutzschiene,Schutzdach,Vorbeugendes Schutzobjekt zum Schutz vor Herausfallen oder Zusammenprallen
F,FQ,FQE,FQE,Vorbeugendes Schutzobjekt für physikalisches Durchdringen,Schutzstoff,,Vorbeugendes Schutzobjekt für physikalisches Durchdringen
F,FQ,FQE,FQE,Vorbeugendes Schutzobjekt für physikalisches Durchdringen,Schutzstoff,,Schutzstoff
F,FQ,FQF,FQF,Vorbeugendes Schutzobjekt zum Verhindern von Blendeffekten,Blendschutz,,Vorbeugendes Schutzobjekt zum Verhindern von Blendeffekten
F,FQ,FQF,FQF,Vorbeugendes Schutzobjekt zum Verhindern von Blendeffekten,Blendschutz,,Blendschutz
F,FQ,FQG,FQG,Vorbeugendes Schutzobjekt zum Verhindern von Spritzern,Spritzschutz,,Vorbeugendes Schutzobjekt zum Verhindern von Spritzern
F,FQ,FQG,FQG,Vorbeugendes Schutzobjekt zum Verhindern von Spritzern,Spritzschutz,,Spritzschutz
F,FQ,FQH,FQH,Vorbeugendes Schutzobjekt zum Verhindern von manueller Beschädigung,Bruchschutz,,Vorbeugendes Schutzobjekt zum Verhindern von manueller Beschädigung
F,FQ,FQH,FQH,Vorbeugendes Schutzobjekt zum Verhindern von manueller Beschädigung,Bruchschutz,,Bruchschutz
F,FQ,FQJ,FQJ,Vorbeugendes Schutzobjekt zum Verhindern von manuellem Entsperren,Lukenschloss,,Vorbeugendes Schutzobjekt zum Verhindern von manuellem Entsperren
F,FQ,FQJ,FQJ,Vorbeugendes Schutzobjekt zum Verhindern von manuellem Entsperren,Lukenschloss,,Lukenschloss
F,FR,,FR,Schutzobjekt für Materialerosion,Verschleißschutzobjekt,,Verschleißschutzobjekt
F,FR,,FR,Schutzobjekt für Materialerosion,Verschleißschutzobjekt,,Schutzobjekt für Materialerosion
F,FR,FRA,FRA,Verschleißschutzobjekt zur Anwendung von flüssigen Stoffen zwischen Objekten,Schmierobjekt,Schmieröl,Verschleißschutzobjekt zur Anwendung von flüssigen Stoffen zwischen Objekten
F,FR,FRA,FRA,Verschleißschutzobjekt zur Anwendung von flüssigen Stoffen zwischen Objekten,Schmierobjekt,Schmieröl,Schmierobjekt
F,FR,FRA,FRA,Verschleißschutzobjekt zur Anwendung von flüssigen Stoffen zwischen Objekten,Schmierobjekt,Schmieröl,Schmieröl
F,FR,FRB,FRB,Verschleißschutzobjekt zur Anwendung eines festen Trennstoffs zwischen Objekten,Verschleißschutz,,Verschleißschutzobjekt zur Anwendung eines festen Trennstoffs zwischen Objekten
F,FR,FRB,FRB,Verschleißschutzobjekt zur Anwendung eines festen Trennstoffs zwischen Objekten,Verschleißschutz,,Verschleißschutz
F,FS,,FS,Schutzobjekt in Bezug auf die lokale Umgebung,Umgebungsschutzobjekt,,Schutzobjekt in Bezug auf die lokale Umgebung
F,FS,,FS,Schutzobjekt in Bezug auf die lokale Umgebung,Umgebungsschutzobjekt,,Umgebungsschutzobjekt
F,FS,FSA,FSA,Umweltschutzobjekt in Form einer festen Pastenschicht auf einem anderen Objekt,Gips,Mörtel,Mörtel
F,FS,FSA,FSA,Umweltschutzobjekt in Form einer festen Pastenschicht auf einem anderen Objekt,Gips,Mörtel,Umweltschutzobjekt in Form einer festen Pastenschicht auf einem anderen Objekt
F,FS,FSA,FSA,Umweltschutzobjekt in Form einer festen Pastenschicht auf einem anderen Objekt,Gips,Mörtel,Gips
F,FS,FSA,FSA,Umweltschutzobjekt in Form einer festen Pastenschicht auf einem anderen Objekt,Gips,Zement,Gips
